respondent_id,country,trust_people,trust_fairness,trust_helpfulness,political_interest,political_self_efficacy,trust_parliament,trust_legal,trust_police,trust_politicians,trust_parties,trust_eu_parliament,trust_un,voted_last_election,contacted_politician,volunteered,left_right,life_satisfaction,satisfaction_economy,satisfaction_government,satisfaction_democracy,satisfaction_education,satisfaction_health_sys,reduce_inequality,gay_rights,immigration_same_ethnicity,immigration_diff_ethnicity,immigration_poor_countries,happiness,social_meeting_freq,close_confidants,social_activity,crime_victim,feel_safe_dark,self_rated_health,health_hampered,religious_belonging,born_in_country,felt_depressed,felt_everything_effort,sleep_restless,was_happy,felt_lonely,enjoyed_life,felt_sad,could_not_get_going,risk_taking,leadership_preference,competitiveness,gender,age,urbanization,education_level,employment_relation,occupation_code,income_decile,intagea,intgndr,intlnga,trust_institutions
50248.0,AT,0.3,0.5,0.5,2,3,0.3,0.5,0.7,0.0,0.0,0.2,0.4,2,2,2,0.5,0.8,0.6,0.0,0.0,0.7,0.8,0.25,0.25,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.8,0.5,0.3333333333333333,2,2,0.6666666666666666,3,2,1,1,1,1,1,2,2,2,2,1,0.0,0.0,1.0,2,76.0,5,2.0,1,6130.0,,63.0,2,GER,0.5
50270.0,AT,0.8,0.8,0.9,3,4,0.7,0.9,0.9,0.8,0.7,0.5,0.7,1,2,2,0.3,0.3,0.6,0.4,0.8,0.8,0.3,0.25,0.5,0.6666666666666666,0.3333333333333333,0.0,0.5,0.8333333333333334,0.5,3,2,0.6666666666666666,3,3,2,1,2,3,1,3,1,3,2,2,0.3333333333333333,0.8333333333333334,1.0,2,30.0,1,7.0,1,2642.0,8.0,48.0,1,GER,0.8333333333333334
50281.0,AT,0.3,0.8,0.9,1,2,0.2,0.6,0.7,0.2,0.2,0.3,0.3,1,2,2,0.3,0.9,0.6,0.2,0.7,0.0,0.7,0.25,0.0,1.0,0.3333333333333333,0.0,0.9,0.8333333333333334,0.16666666666666666,3,2,0.6666666666666666,1,3,1,1,1,2,2,4,1,4,1,1,0.16666666666666666,0.0,1.0,2,67.0,1,3.0,1,3312.0,5.0,52.0,2,GER,0.5
50310.0,AT,0.8,0.8,0.8,1,2,0.7,0.9,0.9,0.6,0.6,0.4,0.4,1,2,2,0.3,1.0,0.2,0.0,0.7,0.7,0.5,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8333333333333334,0.8333333333333334,3,2,1.0,1,3,1,1,1,2,2,4,1,3,2,1,0.16666666666666666,0.6666666666666666,1.0,1,41.0,4,3.0,1,2422.0,8.0,68.0,2,GER,0.8333333333333334
50311.0,AT,0.4,0.5,0.5,2,2,0.2,0.4,0.5,0.5,0.5,0.4,0.4,1,2,2,0.6,0.6,0.5,0.4,0.4,0.4,0.7,0.5,0.25,1.0,0.6666666666666666,0.3333333333333333,0.8,0.16666666666666666,0.0,4,2,1.0,2,3,1,1,2,2,1,2,1,3,2,2,0.6666666666666666,0.3333333333333333,0.8333333333333334,2,82.0,3,3.0,1,5311.0,6.0,72.0,2,GER,0.3666666666666667
50324.0,AT,0.2,0.2,0.2,4,3,0.4,0.5,0.6,0.1,0.1,0.5,0.5,1,2,2,0.4,0.7,0.4,,0.8,0.4,0.8,0.25,0.0,1.0,1.0,1.0,0.8,0.16666666666666666,0.5,1,2,1.0,1,3,2,1,1,1,1,3,1,2,1,1,0.0,0.0,1.0,1,26.0,4,3.0,1,3513.0,,57.0,1,GER,0.5
50339.0,AT,0.4,0.5,0.6,2,2,0.5,0.7,0.5,0.3,0.3,,0.6,3,2,2,,0.5,0.6,,0.8,0.7,0.7,0.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.8333333333333334,0.5,3,1,0.3333333333333333,2,3,2,2,2,2,2,2,1,2,2,2,0.6666666666666666,0.5,1.0,1,42.0,2,2.0,1,5131.0,1.0,56.0,2,GER,0.5666666666666667
50341.0,AT,0.5,0.7,0.7,1,3,0.7,0.7,0.8,0.8,0.8,0.7,0.7,1,1,2,0.6,0.8,0.8,0.8,0.8,0.9,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.8,0.8333333333333334,0.16666666666666666,2,2,1.0,2,3,1,1,2,2,1,2,1,2,1,2,0.5,0.6666666666666666,1.0,2,85.0,4,3.0,6,,2.0,60.0,2,GER,0.7333333333333334
50349.0,AT,0.5,0.7,0.6,2,2,0.4,0.4,0.6,0.6,0.6,0.5,0.5,1,2,2,0.6,0.8,0.7,0.7,0.7,0.5,0.8,0.5,0.0,1.0,0.6666666666666666,0.6666666666666666,0.7,0.6666666666666666,0.16666666666666666,2,2,1.0,2,3,1,1,2,1,1,3,1,3,1,1,0.5,0.8333333333333334,0.8333333333333334,1,72.0,5,3.0,1,5223.0,2.0,72.0,2,GER,0.4666666666666666
50355.0,AT,0.5,0.5,0.5,3,2,0.4,0.5,0.5,0.2,0.2,0.2,0.2,2,2,2,,0.5,0.3,0.2,0.3,0.4,0.6,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,0.8333333333333334,0.3333333333333333,3,2,0.6666666666666666,1,3,2,1,2,1,1,1,1,2,1,2,0.5,0.6666666666666666,1.3333333333333333,1,31.0,1,3.0,1,5131.0,2.0,56.0,2,GER,0.4666666666666666
