profile_id,leaf_id,n_real,real_score_0_100,real_left_right,real_trust_people,real_immigration_same_ethnicity
P01,3,34,46.764705882352935,0.4852941176470588,0.44705882352941173,0.47058823529411764
P02,4,33,51.178451178451176,0.47878787878787876,0.46060606060606063,0.5252525252525252
P03,6,54,52.20164609053498,0.4333333333333333,0.5462962962962963,0.49382716049382724
P04,7,55,58.78787878787878,0.5018181818181818,0.6254545454545453,0.618181818181818
P05,10,58,53.85057471264366,0.4258620689655173,0.603448275862069,0.5632183908045977
P06,11,62,59.086021505376344,0.48064516129032253,0.6145161290322579,0.6774193548387095
P07,13,128,58.55902777777777,0.49609375,0.6070312499999999,0.6458333333333334
P08,14,166,63.96921017402946,0.47168674698795177,0.7144578313253012,0.7168674698795181
