policy_type,network_type,n_runs,wealth_mean_avg,wealth_mean_std,wealth_gini_avg,wealth_gini_std,stress_mean_avg,stress_mean_std
mock,fully_connected,1,76.0,,0.05263157894736836,,0.12000000000000002,
mock,random,5,76.0,0.0,0.05263157894736836,0.0,0.12000000000000002,0.0
mock,small_world,1,76.0,,0.05263157894736836,,0.12000000000000002,
random,fully_connected,1,84.0,,0.0904761904761906,,1.22,
random,random,4,84.0,2.309401076758505,0.09004537719795813,0.038870341803153866,1.195,0.28349015268024147
random,small_world,1,84.0,,0.08571428571428585,,1.2200000000000002,
rule_based,fully_connected,1,76.0,,0.05263157894736836,,0.12000000000000002,
rule_based,random,4,76.0,0.0,0.05263157894736836,0.0,0.12000000000000002,0.0
rule_based,small_world,1,76.0,,0.05263157894736836,,0.12000000000000002,
