policy_type,cv_wealth,cv_gini
random,0.3129186113697934,0.2878885260371199
template,0.31531943841646126,0.23762464276187484
rule_based,0.30753347400318715,0.35153892575617873
llm,0.0701735128505675,0.1303881054477932
