experiment_id,policy_type,num_agents,num_rounds,seed,wealth_mean,wealth_median,wealth_variance,wealth_min,wealth_max,wealth_gini,stress_mean,stress_median,stress_variance,stress_min,stress_max,actions_cooperate,actions_save,actions_work,behavior_cooperation_rate,behavior_defection_rate,event_action_counts_cooperate,event_action_counts_save,event_action_counts_work,event_behavior_work_rate,event_behavior_save_rate,event_behavior_cooperation_rate,event_behavior_rejected_action_rate,validation_summary_valid_actions,validation_summary_invalid_actions,actions_none
grounded_llm_ess_persona_s44,,20,,,88.25,85.0,385.6875,60.0,140.0,0.11997167138810183,1.2200000000000002,1.6,0.2696,0.39999999999999997,1.6,6.0,1.0,13.0,0.3,0.0,48.0,19.0,33.0,0.33,0.19,0.48,0.0,100,0,
grounded_llm_synth_persona,,20,,,78.75,72.5,729.6875,45.0,175.0,0.15539682539682542,-0.26499999999999996,-0.6,0.4402750000000001,-0.8,1.6,15.0,4.0,1.0,0.75,0.0,63.0,30.0,7.0,0.07,0.3,0.63,0.0,100,0,
grounded_llm_synth_persona_s42,,20,,,89.5,85.0,574.75,60.0,135.0,0.15139664804469266,0.9500000000000002,0.6000000000000001,0.28350000000000003,0.4000000000000001,1.6,11.0,1.0,8.0,0.55,0.0,54.0,18.0,28.0,0.28,0.18,0.54,0.0,100,0,
grounded_llm_synth_persona_s43,,20,,,93.0,95.0,263.5,65.0,130.0,0.09758064516129017,1.2700000000000002,1.6,0.25410000000000005,0.5,1.6,6.0,,14.0,0.3,0.0,46.0,20.0,34.0,0.34,0.2,0.46,0.0,100,0,
grounded_llm_synth_persona_s44,,20,,,91.5,95.0,437.75,55.0,140.0,0.12704918032786883,1.1700000000000002,1.6,0.2781,0.5,1.6,8.0,,12.0,0.4,0.0,50.0,18.0,32.0,0.32,0.18,0.5,0.0,100,0,
llm_regression_s1,llm,5,,1.0,102.4,100.0,191.04000000000002,80.0,122.0,0.07343750000000004,0.039999999999999966,-0.30000000000000004,0.2944,-0.5,0.7,2.0,2.0,1.0,0.4,0.0,8.0,5.0,2.0,0.13333333333333333,0.3333333333333333,0.5333333333333333,0.0,15,0,
mock_fc_seed_42,mock,5,,42.0,76.0,70.0,64.0,70.0,90.0,0.05263157894736836,0.12000000000000002,-0.6000000000000001,0.9216,-0.6000000000000001,1.8,,5.0,,0.0,0.0,,12.0,3.0,0.2,0.8,0.0,0.0,15,0,
mock_pop_100_seed_42,mock,100,,42.0,545.2,540.0,73492.96,110.0,1025.0,0.28678283198826127,-0.281,-0.30000000000000004,0.024139000000000004,-0.4,0.8,100.0,,,1.0,0.0,295.0,3.0,2.0,0.006666666666666667,0.01,0.9833333333333333,0.0,300,0,
mock_pop_20_seed_42,mock,20,,42.0,146.0,140.0,1734.0,95.0,225.0,0.1613013698630137,-0.23500000000000001,-0.30000000000000004,0.09227500000000001,-0.5,0.7000000000000001,19.0,1.0,,0.95,0.0,49.0,9.0,2.0,0.03333333333333333,0.15,0.8166666666666667,0.0,60,0,
mock_pop_50_seed_42,mock,50,,42.0,295.4,290.0,16402.84,95.0,525.0,0.24968178740690594,-0.26600000000000007,-0.30000000000000004,0.04864399999999999,-0.5,0.8,49.0,1.0,,0.98,0.0,143.0,5.0,2.0,0.013333333333333334,0.03333333333333333,0.9533333333333334,0.0,150,0,
mock_random_seed_42,mock,5,,42.0,76.0,70.0,64.0,70.0,90.0,0.05263157894736836,0.12000000000000002,-0.6000000000000001,0.9216,-0.6000000000000001,1.8,,5.0,,0.0,0.0,,12.0,3.0,0.2,0.8,0.0,0.0,15,0,
mock_seed_42,mock,5,,42.0,76.0,70.0,64.0,70.0,90.0,0.05263157894736836,0.12000000000000002,-0.6000000000000001,0.9216,-0.6000000000000001,1.8,,5.0,,0.0,0.0,,12.0,3.0,0.2,0.8,0.0,0.0,15,0,
mock_seed_43,mock,5,,43.0,76.0,70.0,64.0,70.0,90.0,0.05263157894736836,0.12000000000000002,-0.6000000000000001,0.9216,-0.6000000000000001,1.8,,5.0,,0.0,0.0,,12.0,3.0,0.2,0.8,0.0,0.0,15,0,
mock_seed_44,mock,5,,44.0,76.0,70.0,64.0,70.0,90.0,0.05263157894736836,0.12000000000000002,-0.6000000000000001,0.9216,-0.6000000000000001,1.8,,5.0,,0.0,0.0,,12.0,3.0,0.2,0.8,0.0,0.0,15,0,
mock_small_world_seed_42,mock,5,,42.0,76.0,70.0,64.0,70.0,90.0,0.05263157894736836,0.12000000000000002,-0.6000000000000001,0.9216,-0.6000000000000001,1.8,,5.0,,0.0,0.0,,12.0,3.0,0.2,0.8,0.0,0.0,15,0,
pert_llm_s123,llm,20,,123.0,243.1,245.5,353.59000000000003,201.0,280.0,0.04236939531057171,10.0,10.0,0.0,10.0,10.0,,,20.0,0.0,0.0,,,200.0,1.0,0.0,0.0,0.0,200,0,
pert_llm_s42,llm,20,,42.0,246.2,248.0,560.8600000000001,207.0,292.0,0.05371649065800166,10.0,10.0,0.0,10.0,10.0,,,20.0,0.0,0.0,,,200.0,1.0,0.0,0.0,0.0,200,0,
pert_llm_s7,llm,20,,7.0,162.5,149.0,7431.35,41.0,323.0,0.3023692307692307,3.45,2.2999999999999994,16.3385,-0.9999999999999999,10.0,15.0,,5.0,0.75,0.0,118.0,1.0,81.0,0.405,0.005,0.59,0.0,200,0,
pure_llm_ess_persona,,20,,,67.25,67.5,743.6875,35.0,130.0,0.22174721189591073,-0.6399999999999999,-0.7,0.07340000000000002,-0.8,0.5,15.0,5.0,,0.75,0.0,60.0,39.0,1.0,0.01,0.39,0.6,0.0,100,0,
pure_llm_ess_persona_s42,,20,,,89.25,86.5,158.0875,65.0,120.0,0.0765546218487394,0.9249999999999998,1.4000000000000001,0.6388750000000002,-1.0,1.5,,18.0,2.0,0.0,0.0,1.0,67.0,32.0,0.32,0.67,0.01,0.0,100,0,
pure_llm_ess_persona_s43,,20,,,88.5,90.0,185.25,65.0,115.0,0.08700564971751401,0.8149999999999998,1.4000000000000001,0.7882750000000003,-1.0,1.5,1.0,18.0,1.0,0.05,0.0,3.0,67.0,30.0,0.3,0.67,0.03,0.0,100,0,
pure_llm_ess_persona_s44,,20,,,90.5,90.0,162.25,65.0,115.0,0.07790055248618777,1.0399999999999998,1.4000000000000001,0.5904,-1.0,1.4000000000000001,,18.0,2.0,0.0,0.0,,66.0,34.0,0.34,0.66,0.0,0.0,100,0,
pure_llm_synth_persona,,20,,,78.5,72.5,662.75,55.0,165.0,0.16273885350318462,-0.37999999999999995,-0.7,0.32360000000000005,-0.8,0.5000000000000001,9.0,11.0,,0.45,0.0,52.0,42.0,6.0,0.06,0.42,0.52,0.0,100,0,
pure_llm_synth_persona_s42,,20,,,94.5,92.5,149.75,70.0,115.0,0.07301587301587298,1.1599999999999997,1.4000000000000001,0.37439999999999996,-1.0,1.4000000000000001,,18.0,2.0,0.0,0.0,,64.0,36.0,0.36,0.64,0.0,0.0,100,0,
pure_llm_synth_persona_s43,,20,,,93.5,92.5,90.25,70.0,110.0,0.05561497326203213,1.0999999999999999,1.4000000000000001,0.5579999999999999,-1.0,1.4000000000000001,,19.0,1.0,0.0,0.0,,65.0,35.0,0.35,0.65,0.0,0.0,100,0,
pure_llm_synth_persona_s44,,20,,,94.0,95.0,104.0,70.0,110.0,0.060372340425531856,1.2199999999999998,1.4000000000000001,0.3276,-1.0,1.4000000000000001,,19.0,1.0,0.0,0.0,,63.0,37.0,0.37,0.63,0.0,0.0,100,0,
random_fc_seed_42,random,5,,42.0,84.0,85.0,194.0,60.0,100.0,0.0904761904761906,1.22,0.8,0.30959999999999993,0.7,1.9,3.0,1.0,1.0,0.6,0.0,7.0,1.0,7.0,0.4666666666666667,0.06666666666666667,0.4666666666666667,0.0,15,0,
random_pop_100_seed_42,random,100,,42.0,556.9,550.0,84179.89,55.0,1055.0,0.3006643921709462,0.9269999999999999,0.7000000000000001,0.777971,-0.6000000000000001,3.0,31.0,30.0,39.0,0.31,0.0,99.0,82.0,119.0,0.39666666666666667,0.2733333333333333,0.33,0.0,300,0,
random_pop_20_seed_42,random,20,,42.0,155.5,162.5,3717.25,50.0,260.0,0.22363344051446932,0.745,0.7,0.7484750000000001,-0.6000000000000001,1.9,6.0,8.0,6.0,0.3,0.0,17.0,22.0,21.0,0.35,0.36666666666666664,0.2833333333333333,0.0,60,0,
random_pop_50_seed_42,random,50,,42.0,306.4,315.0,21323.04,65.0,555.0,0.27472584856396876,0.8779999999999998,0.7000000000000001,1.0589160000000002,-0.6000000000000001,3.0,18.0,12.0,20.0,0.36,0.0,55.0,38.0,57.0,0.38,0.25333333333333335,0.36666666666666664,0.0,150,0,
random_random_seed_42,random,5,,42.0,86.0,90.0,54.0,75.0,95.0,0.04651162790697683,1.42,1.8,0.3016,0.7,1.9,2.0,2.0,1.0,0.4,0.0,5.0,2.0,8.0,0.5333333333333333,0.13333333333333333,0.3333333333333333,0.0,15,0,
random_seed_42,random,5,,42.0,86.0,85.0,124.0,75.0,105.0,0.06976744186046524,1.46,0.8,0.7744,0.8,3.0,4.0,,1.0,0.8,0.0,7.0,,8.0,0.5333333333333333,0.0,0.4666666666666667,0.0,15,0,
random_seed_43,random,5,,43.0,82.0,80.0,446.0,55.0,120.0,0.13170731707317085,0.9600000000000002,0.8,0.7984,-0.5,1.9,,1.0,4.0,0.0,0.0,6.0,3.0,6.0,0.4,0.2,0.4,0.0,15,0,
random_seed_44,random,5,,44.0,82.0,85.0,286.0,60.0,100.0,0.11219512195121961,0.9400000000000001,0.7000000000000001,0.2344,0.6000000000000001,1.9,3.0,2.0,,0.6,0.0,5.0,4.0,6.0,0.4,0.26666666666666666,0.3333333333333333,0.0,15,0,
random_small_world_seed_42,random,5,,42.0,84.0,80.0,184.0,70.0,100.0,0.08571428571428585,1.2200000000000002,0.8,0.30959999999999993,0.7,1.9,3.0,1.0,1.0,0.6,0.0,7.0,1.0,7.0,0.4666666666666667,0.06666666666666667,0.4666666666666667,0.0,15,0,
rule_based_seed_42,rule_based,5,,42.0,76.0,70.0,64.0,70.0,90.0,0.05263157894736836,0.12000000000000002,-0.6000000000000001,0.9216,-0.6000000000000001,1.8,,5.0,,0.0,0.0,,12.0,3.0,0.2,0.8,0.0,0.0,15,0,
rule_based_seed_43,rule_based,5,,43.0,76.0,70.0,64.0,70.0,90.0,0.05263157894736836,0.12000000000000002,-0.6000000000000001,0.9216,-0.6000000000000001,1.8,,5.0,,0.0,0.0,,12.0,3.0,0.2,0.8,0.0,0.0,15,0,
rule_based_seed_44,rule_based,5,,44.0,76.0,70.0,64.0,70.0,90.0,0.05263157894736836,0.12000000000000002,-0.6000000000000001,0.9216,-0.6000000000000001,1.8,,5.0,,0.0,0.0,,12.0,3.0,0.2,0.8,0.0,0.0,15,0,
rule_fc_seed_42,rule_based,5,,42.0,76.0,70.0,64.0,70.0,90.0,0.05263157894736836,0.12000000000000002,-0.6000000000000001,0.9216,-0.6000000000000001,1.8,,5.0,,0.0,0.0,,12.0,3.0,0.2,0.8,0.0,0.0,15,0,
rule_pop_100_seed_42,rule_based,100,,42.0,545.2,540.0,73492.96,110.0,1025.0,0.28678283198826127,-0.281,-0.30000000000000004,0.024139000000000004,-0.4,0.8,100.0,,,1.0,0.0,295.0,3.0,2.0,0.006666666666666667,0.01,0.9833333333333333,0.0,300,0,
rule_pop_20_seed_42,rule_based,20,,42.0,146.0,140.0,1734.0,95.0,225.0,0.1613013698630137,-0.23500000000000001,-0.30000000000000004,0.09227500000000001,-0.5,0.7000000000000001,19.0,1.0,,0.95,0.0,49.0,9.0,2.0,0.03333333333333333,0.15,0.8166666666666667,0.0,60,0,
rule_pop_50_seed_42,rule_based,50,,42.0,295.4,290.0,16402.84,95.0,525.0,0.24968178740690594,-0.26600000000000007,-0.30000000000000004,0.04864399999999999,-0.5,0.8,49.0,1.0,,0.98,0.0,143.0,5.0,2.0,0.013333333333333334,0.03333333333333333,0.9533333333333334,0.0,150,0,
rule_random_seed_42,rule_based,5,,42.0,76.0,70.0,64.0,70.0,90.0,0.05263157894736836,0.12000000000000002,-0.6000000000000001,0.9216,-0.6000000000000001,1.8,,5.0,,0.0,0.0,,12.0,3.0,0.2,0.8,0.0,0.0,15,0,
rule_small_world_seed_42,rule_based,5,,42.0,76.0,70.0,64.0,70.0,90.0,0.05263157894736836,0.12000000000000002,-0.6000000000000001,0.9216,-0.6000000000000001,1.8,,5.0,,0.0,0.0,,12.0,3.0,0.2,0.8,0.0,0.0,15,0,
