profile_id,leaf_id,n_real,real_score_0_100,real_left_right,real_trust_people,real_immigration_same_ethnicity,n_synthetic,left_right,trust_people,immigration_same_ethnicity,synthetic_score_0_100,score_diff,abs_score_diff,diff_left_right,diff_trust_people,diff_immigration_same_ethnicity
P01,3,34,46.764705882352935,0.4852941176470588,0.44705882352941173,0.47058823529411764,10,0.4,0.695,0.615,56.99999999999999,10.235294117647058,10.235294117647058,-0.0852941176470588,0.24794117647058822,0.14441176470588235
P02,4,33,48.82154882154882,0.47878787878787876,0.46060606060606063,0.5252525252525252,10,0.4,0.6699999999999999,0.63,56.66666666666666,7.845117845117841,7.845117845117841,-0.07878787878787874,0.2093939393939393,0.10474747474747481
P03,6,54,49.11522633744856,0.4333333333333333,0.5462962962962963,0.49382716049382724,10,0.41000000000000003,0.8150000000000001,0.6649999999999999,63.0,13.884773662551439,13.884773662551439,-0.02333333333333326,0.2687037037037038,0.17117283950617268
P04,7,55,58.181818181818166,0.5018181818181818,0.6254545454545453,0.618181818181818,10,0.4,0.795,0.6599999999999999,61.83333333333333,3.651515151515163,3.651515151515163,-0.10181818181818181,0.16954545454545478,0.041818181818181865
P05,10,58,53.08429118773946,0.4258620689655173,0.603448275862069,0.5632183908045977,10,0.41000000000000003,0.79,0.635,61.16666666666667,8.082375478927212,8.082375478927212,-0.015862068965517284,0.18655172413793109,0.07178160919540233
P06,11,62,59.08602150537633,0.48064516129032253,0.6145161290322579,0.6774193548387095,10,0.38,0.805,0.635,60.66666666666667,1.5806451612903416,1.5806451612903416,-0.10064516129032253,0.1904838709677421,-0.04241935483870951
P07,13,128,58.29861111111111,0.49609375,0.6070312499999999,0.6458333333333334,10,0.4,0.7,0.6,56.66666666666668,-1.6319444444444287,1.6319444444444287,-0.09609374999999998,0.09296875000000004,-0.04583333333333339
P08,14,166,63.433734939759034,0.47168674698795177,0.7144578313253012,0.7168674698795181,10,0.4,0.79,0.6849999999999999,62.5,-0.9337349397590344,0.9337349397590344,-0.07168674698795174,0.07554216867469887,-0.03186746987951816
